Ticker	P_E	P_Free_Cash_Flow	Dividend_Yield	EPS_growth_this_year	Return_on_Equity	LT_Debt_Equity
HUM	21.27	25.44	0.72	-4.8	11.6	0.4
IBM	10.39	18.94	2.69	2	139.3	2.96
ICE	27.91	27.28	1.11	119	7.7	0.18
IFF	23.99	50.33	1.55	38.8	31.5	0.57
INTC	14.83	28.04	2.79	22.2	20.4	0.22
INTU	34.92	24.9	1.03	8.8	27.8	0.21
IP	29.38	25.28	2.78	77.1	10.2	1.32
IPG	27.02	29.81	1.69	-35.1	16.8	0.78
IR	20.85	38.15	1.69	57.2	16.2	0.62
IRM	19.84	NA	5.18	-51.5	42	9.5
ISRG	45.87	33.58	NA	-33.6	12.9	0
ITW	21.26	69.4	1.95	28.7	37.3	0.88
IVZ	17.56	26.81	2.5	16.9	11.8	0.19
JCI	22.78	41.45	2.06	35.9	11	0.43
JEC	17.5	14.03	NA	-23.2	7.5	0.16
JNJ	17.59	NA	2.79	18.5	27.6	0.17
JOY	13.58	22.11	1.79	-34.3	11.8	0.45
JPM	11.3	NA	2.68	21.6	9.6	1.31
JWN	21.68	213.02	1.61	4.2	34.5	1.37
K	37.05	42.85	3.06	-64.4	18.8	2.13
KEY	13.61	NA	1.85	11.8	8.6	0.77
KIM	34.94	NA	3.57	40	12.5	0.97
KLAC	25.58	NA	3.08	8.1	14.9	5.33
KMB	28.23	73.73	3.03	-22	72.1	7.82
KMI	44.07	NA	4.3	-22.4	5.7	1.18
KMX	27.25	NA	NA	15.5	16.8	2.69
KO	26.4	64.3	2.91	-15.8	21.8	0.63
KORS	16.58	28.83	NA	63.5	41.8	0
KR	22.47	36.31	1.02	4.7	31.8	1.83
KRFT	37.24	NA	3.42	-61.4	20	1.98
KSS	17.51	18.74	2.24	-3.1	14.2	0.81
KSU	25.63	NA	1.13	43.1	14	0.49
L	29.62	21.25	0.59	7	0.9	0.51
LB	27.71	90.55	2.21	20.1	-201.8	NA
LEG	28.89	51.29	2.77	24	12.1	0.66
LEN	17.97	NA	0.32	30.2	15.7	1.27
LH	20.32	21.69	NA	4.3	19.9	1.05
LLL	17.55	NA	1.96	-8.3	11.1	0.67
LLTC	23.54	45.69	2.49	11.1	37.2	0
LLY	32.38	NA	2.78	-48.4	13.4	0.3
LM	31.17	32.27	1.09	187.9	4.8	0.23
LMT	18.2	51.05	2.94	24	84.6	1.81
LNC	10.25	NA	1.37	25	14.7	0.33
LO	20.88	61.99	3.58	4.1	-66.6	NA
LOW	29.08	22.14	1.25	26.6	22.4	1.01
LRCX	20.86	22.52	0.86	448.5	14.5	0.2
LUK	46.37	NA	1.04	-70.2	6.5	0.91
LUV	27.3	29.82	0.54	56.2	15.8	0.39
LVLT	43.61	72.39	NA	346.9	11.1	1.73
LYB	11.31	13.72	3.09	18.3	40.9	0.81
M	15.28	19.53	1.96	19.1	26.3	1.33
MA	29.38	40.76	0.7	20.7	55.4	0.22
MAC	8.36	NA	3.1	9	46.3	1.55
MAR	32.3	NA	0.96	27	-45.6	NA
MAS	11.19	26.19	1.35	189.2	101.1	3.16
MAT	17.53	NA	5.9	-43.4	16.7	0.71
MCD	19.54	NA	3.61	-13.2	30.7	1.07
MCHP	29.96	33.39	2.81	193.5	17.4	0.59
MCK	30.93	17	0.42	3.4	19.3	0.99
MCO	21.12	NA	1.4	28.1	278.8	10.12
MDLZ	28.88	64.97	1.62	-0.8	7.1	0.5
MDT	27.17	43.08	1.55	-10.4	15	0.5
MET	10.55	4.35	2.71	172	8.3	0.28
MHK	25.42	NA	NA	43	11.7	0.32
MJN	29.58	68.39	1.43	5.3	154.3	2.62
MKC	22.64	54.5	2.11	14.8	22.8	0.57
MLM	60.44	165	1.12	3.8	4.5	0.36
MMC	21.97	NA	1.96	7.4	18.9	0.47
MMM	22.51	36.58	2.44	11.5	30.9	0.51
MNST	48.5	45.62	NA	4.8	36.6	0
MO	21.72	NA	3.74	13.3	128	4.55
MON	25.39	170.05	1.57	12.3	24.1	1.02
